,Neighborhood,Neighborhood Latitude,Neighborhood Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
0,R0,41.881820181818185,12.4625,Il Cortile,41.88013793253512,12.462185810818719,Italian Restaurant
1,R0,41.881820181818185,12.4625,Le Cafe Vert,41.881263,12.460642,Café
2,R0,41.881820181818185,12.4625,Teatro Vascello,41.88247287347805,12.460720236478153,Theater
3,R0,41.881820181818185,12.4625,La Gourmandise,41.87886839999999,12.4622387,Ice Cream Shop
4,R0,41.881820181818185,12.4625,Il Focolare,41.88273382786741,12.46173680978834,Italian Restaurant
5,R0,41.881820181818185,12.4625,Da Simone,41.88479133831849,12.46093063615286,Pizza Place
6,R0,41.881820181818185,12.4625,Villa Sciarra,41.88418814340391,12.463834228326569,Park
7,R0,41.881820181818185,12.4625,Lumie di sicilia,41.88521831538716,12.459615331886084,Restaurant
8,R0,41.881820181818185,12.4625,EasyFitclub Trastevere,41.87894130884252,12.466057884845819,Gym
9,R0,41.881820181818185,12.4625,Trilussa Palace Congress & Spa,41.879947183147024,12.466595205095723,Hotel
10,R0,41.881820181818185,12.4625,Dolci Desideri,41.88049398980678,12.460666101308531,Dessert Shop
11,R0,41.881820181818185,12.4625,Osteria Tutto Qua,41.88077802873268,12.460682077289158,Restaurant
12,R0,41.881820181818185,12.4625,Gli Archi Caffetteria,41.8852536142725,12.461563665624054,Bar
13,R0,41.881820181818185,12.4625,L'Orange,41.880630701080754,12.46700914006231,Italian Restaurant
14,R0,41.881820181818185,12.4625,Litro,41.88516559845157,12.461277682662647,Winery
15,R0,41.881820181818185,12.4625,B&B Bamboo Roma,41.883238683298984,12.457983770643025,Hotel
16,R0,41.881820181818185,12.4625,Il Vascello dai Sardi,41.882445,12.460005,Italian Restaurant
17,R0,41.881820181818185,12.4625,Roadhouse Grill,41.87971952664142,12.46663280771442,American Restaurant
18,R0,41.881820181818185,12.4625,"Homebaked ""Grandma's Kitchen""",41.88523349702036,12.460473747469404,Bakery
19,R0,41.881820181818185,12.4625,Beveria Monteverde,41.88395011742131,12.45775580406189,Italian Restaurant
20,R0,41.881820181818185,12.4625,Hostel Trustever,41.87856411009421,12.466319663468832,Hostel
21,R0,41.881820181818185,12.4625,Stazione Quattro Venti (FL3),41.87854587437627,12.458480385390423,Train Station
22,R0,41.881820181818185,12.4625,Osteria Mangiafuoco KM0,41.88033,12.4632,Diner
23,R0,41.881820181818185,12.4625,Al Grammelot,41.88403486650318,12.46078883706992,Winery
24,R0,41.881820181818185,12.4625,Piazza Ippolito Nievo,41.880189699722045,12.46702551396679,Plaza
25,R0,41.881820181818185,12.4625,China Garden,41.88026824280475,12.466634163085432,Chinese Restaurant
26,R0,41.881820181818185,12.4625,Antica Roma,41.88008602626912,12.461858830483385,Food
27,R0,41.881820181818185,12.4625,doc*,41.878041069191056,12.4603127205879,Supermarket
28,R0,41.881820181818185,12.4625,Villa Maria,41.88274,12.46337,Hotel
29,R0,41.881820181818185,12.4625,alice pizza via quattro venti,41.8819413261691,12.458403649918447,Pizza Place
30,R0,41.881820181818185,12.4625,Caffe Fiorini,41.881923692997255,12.456646465530351,Café
31,R0,41.881820181818185,12.4625,Koi,41.880405,12.46665,Asian Restaurant
32,R0,41.881820181818185,12.4625,largo oriani,41.87835733685298,12.46027912962445,Plaza
33,R0,41.881820181818185,12.4625,Finn Irish Pub,41.882362,12.456748,Irish Pub
34,R1,41.881820181818185,12.475,Remo,41.880931277448795,12.475499001484847,Pizza Place
35,R1,41.881820181818185,12.475,Il Gianfornaio,41.88179749006553,12.47682103745769,Café
36,R1,41.881820181818185,12.475,Trapizzino,41.87955581704802,12.473826155002492,Sandwich Place
37,R1,41.881820181818185,12.475,Antico Forno a Testaccio,41.88081,12.47422,Italian Restaurant
38,R1,41.881820181818185,12.475,Piazza dell'Emporio,41.88284996775813,12.476241553618719,Plaza
39,R1,41.881820181818185,12.475,Piazza Testaccio,41.87962979912369,12.477075849202834,Plaza
40,R1,41.881820181818185,12.475,Buco della Serratura Priorato dei Cavalieri di Malta,41.882944853399295,12.478565649986688,Scenic Lookout
41,R1,41.881820181818185,12.475,L'Oasi della Birra,41.87976116706222,12.477305130292393,Gastropub
42,R1,41.881820181818185,12.475,Giolitti,41.881961923607975,12.475770761211322,Ice Cream Shop
43,R1,41.881820181818185,12.475,Lo Scopettaro,41.882386435351556,12.475067902175859,Italian Restaurant
44,R1,41.881820181818185,12.475,Agustarello,41.87948232268625,12.473713227409469,Italian Restaurant
45,R1,41.881820181818185,12.475,Giardino Storico Di Sant'Alessio,41.883858925027226,12.478981117939359,Park
46,R1,41.881820181818185,12.475,Piazza dei Cavalieri di Malta,41.882908309550125,12.478563761054943,Plaza
47,R1,41.881820181818185,12.475,Hotel San Anselmo,41.88218166693303,12.479314262946298,Hotel
48,R1,41.881820181818185,12.475,Piazza Santa Maria Liberatrice,41.880176419074814,12.475155298730424,Plaza
49,R1,41.881820181818185,12.475,Rec23,41.88260685635553,12.476173679582814,Cocktail Bar
50,R1,41.881820181818185,12.475,Volpetti,41.879022283043604,12.47883526647488,Gourmet Shop
51,R1,41.881820181818185,12.475,Felice a Testaccio,41.878530911749706,12.477358983308251,Roman Restaurant
52,R1,41.881820181818185,12.475,Volpetti Più,41.87899561436766,12.478419542312622,Fast Food Restaurant
53,R1,41.881820181818185,12.475,Villa San Pio,41.881861074726274,12.480859429234368,Hotel
54,R1,41.881820181818185,12.475,Linari,41.87932467041814,12.474603222310877,Dessert Shop
55,R1,41.881820181818185,12.475,Panna & Co,41.88046888498265,12.477775766320372,Ice Cream Shop
56,R1,41.881820181818185,12.475,Taverna Volpetti,41.87921,12.478492,Trattoria/Osteria
57,R1,41.881820181818185,12.475,Caffè Barberini,41.878968332633406,12.478881628514717,Café
58,R1,41.881820181818185,12.475,Basilica di Santa Sabina all'Aventino,41.884306171967765,12.479974640953124,Church
59,R1,41.881820181818185,12.475,Nuovo Mercato di Testaccio,41.8775449034306,12.473687641224808,Market
60,R1,41.881820181818185,12.475,Masto,41.877873,12.477364,Wine Bar
61,R1,41.881820181818185,12.475,Brivido,41.87935,12.475803,Ice Cream Shop
62,R1,41.881820181818185,12.475,Nuovo Sacher,41.884559751277905,12.472520592257489,Indie Movie Theater
63,R1,41.881820181818185,12.475,Hotel San Francesco,41.88495491835921,12.472535671124605,Hotel Bar
64,R1,41.881820181818185,12.475,La Fraschetta di Mastro Giorgio,41.8786153916249,12.477567213555579,Italian Restaurant
65,R1,41.881820181818185,12.475,Mordi & Vai,41.87754403486911,12.473317097782495,Sandwich Place
66,R1,41.881820181818185,12.475,Cantina Ripagrande,41.88580732628937,12.472720378929601,Café
67,R1,41.881820181818185,12.475,"Trattoria ""Da Oio"" A Casa Mia",41.877900983571884,12.47710944515142,Italian Restaurant
68,R1,41.881820181818185,12.475,Trattoria Perilli,41.87889707472484,12.47891819165531,Trattoria/Osteria
69,R1,41.881820181818185,12.475,Taja e Coci,41.88058605808137,12.469995755731532,Steakhouse
70,R1,41.881820181818185,12.475,Greenwich,41.87875292198534,12.47410108671469,Multiplex
71,R1,41.881820181818185,12.475,Antico Tevere,41.88115816880663,12.471051140577888,Italian Restaurant
72,R1,41.881820181818185,12.475,Il Seme E La Foglia,41.87743896803099,12.476000888598863,Bar
73,R1,41.881820181818185,12.475,Worldhotel Ripa Roma,41.88271121604156,12.470612192388925,Hotel
74,R1,41.881820181818185,12.475,Pasticcerie Giovanni Cecere,41.881702585988045,12.469082232112335,Dessert Shop
75,R1,41.881820181818185,12.475,Ripa Place,41.882660969332626,12.470580823583802,Italian Restaurant
76,R1,41.881820181818185,12.475,Eat & Sleep,41.88289100624937,12.469658205460979,Bed & Breakfast
77,R1,41.881820181818185,12.475,Fermata Del 3 - Ministero Pubblica Istruzione,41.88466904008641,12.470469443595002,Light Rail Station
78,R2,41.881820181818185,12.4875,Elleniko,41.88087826159646,12.484788378467158,Greek Restaurant
79,R2,41.881820181818185,12.4875,So Good!,41.88113030805293,12.485032760453366,Beer Bar
80,R2,41.881820181818185,12.4875,Stadio delle Terme di Caracalla,41.88189257435194,12.49138860933086,Track Stadium
81,R2,41.881820181818185,12.4875,Casa Manfredi,41.88106120650811,12.485043639912908,Dessert Shop
82,R2,41.881820181818185,12.4875,The Corner,41.88066423779828,12.484344507166707,Restaurant
83,R2,41.881820181818185,12.4875,Il Gelato Di Claudio Torcè,41.881589226999736,12.485642125491394,Ice Cream Shop
84,R2,41.881820181818185,12.4875,Queen Makeda,41.87946362476186,12.485054037804275,Gastropub
85,R2,41.881820181818185,12.4875,Ristorante Apuleius,41.88269078109834,12.482983284706135,Italian Restaurant
86,R2,41.881820181818185,12.4875,Hotel Domus Aventina,41.88330905154275,12.483846489445815,Hotel
87,R2,41.881820181818185,12.4875,Bar Circo Massimo,41.88325839370956,12.487580311694662,Café
88,R2,41.881820181818185,12.4875,Court Delicati,41.88175787868614,12.485786266876465,Chinese Restaurant
89,R2,41.881820181818185,12.4875,Max Roma,41.883186939404155,12.487489418678265,Italian Restaurant
90,R2,41.881820181818185,12.4875,Marco Martini Chef,41.880626,12.484702,Restaurant
